geneId,geneName,bnumber,leftEndPos,rightEndPos,strand
RDBECOLIGNC00028,adhE,b1241,1295446.0,1298121.0,reverse
RDBECOLIGNC00029,adk,b0474,497175.0,497819.0,forward
RDBECOLIGNC00030,agp,b1002,1065585.0,1066826.0,forward
RDBECOLIGNC00031,alaS,b2697,2819381.0,2822011.0,reverse
RDBECOLIGNC00032,aldA,b1415,1488232.0,1489671.0,forward
RDBECOLIGNC00033,puuC,b1300,1362743.0,1364230.0,forward
RDBECOLIGNC00034,alkB,b2212,2308691.0,2309341.0,reverse
RDBECOLIGNC00035,amn,b1982,2055061.0,2056515.0,forward
RDBECOLIGNC00036,ampC,b4150,4377811.0,4378944.0,reverse
RDBECOLIGNC00037,ampD,b0110,118733.0,119284.0,forward
RDBECOLIGNC00038,ampE,b0111,119281.0,120135.0,forward
RDBECOLIGNC00039,cysQ,b4214,4436755.0,4437495.0,forward
RDBECOLIGNC00040,osmE,b1739,1821918.0,1822256.0,reverse
RDBECOLIGNC00041,ansA,b1767,1850860.0,1851876.0,forward
RDBECOLIGNC00042,ansB,b2957,3099682.0,3100728.0,reverse
RDBECOLIGNC00043,apaG,b0050,51229.0,51606.0,reverse
RDBECOLIGNC00044,apaH,b0049,50380.0,51222.0,reverse
RDBECOLIGNC00045,appA,b0980,1040617.0,1041915.0,forward
RDBECOLIGNC00046,appY,b0564,583681.0,584430.0,forward
RDBECOLIGNC00047,apt,b0469,491412.0,491963.0,forward
RDBECOLIGNC00048,araA,b0062,66835.0,68337.0,reverse
RDBECOLIGNC00049,araB,b0063,68348.0,70048.0,reverse
RDBECOLIGNC00050,araC,b0064,70387.0,71265.0,forward
RDBECOLIGNC00051,araD,b0061,65855.0,66550.0,reverse
RDBECOLIGNC00052,araE,b2841,2980764.0,2982182.0,reverse
RDBECOLIGNC00053,araF,b1901,1985139.0,1986128.0,reverse
RDBECOLIGNC00054,araG,b1900,1983555.0,1985069.0,reverse
RDBECOLIGNC00055,araH,b4460,1982554.0,1983540.0,reverse
RDBECOLIGNC00056,araJ,b0396,411297.0,412481.0,reverse
RDBECOLIGNC00057,arcA,b4401,4639590.0,4640306.0,reverse
RDBECOLIGNC00058,arcB,b3210,3350689.0,3353025.0,reverse
RDBECOLIGNC00059,argA,b2818,2949242.0,2950573.0,forward
RDBECOLIGNC00060,argB,b3959,4156013.0,4156789.0,forward
RDBECOLIGNC00061,argC,b3958,4155001.0,4156005.0,forward
RDBECOLIGNC00062,argD,b3359,3488960.0,3490180.0,reverse
RDBECOLIGNC00063,argF,b0273,289301.0,290305.0,reverse
RDBECOLIGNC00064,argG,b3172,3318637.0,3319980.0,forward
RDBECOLIGNC00065,argI,b4254,4477307.0,4478311.0,reverse
RDBECOLIGNC00066,argR,b3237,3384703.0,3385173.0,forward
RDBECOLIGNC00067,argS,b1876,1960062.0,1961795.0,forward
RDBECOLIGNC00068,argT,b2310,2427009.0,2427791.0,reverse
RDBECOLIGNC00069,aroA,b0908,958812.0,960095.0,forward
RDBECOLIGNC00070,aroB,b3389,3517398.0,3518486.0,reverse
RDBECOLIGNC00071,aroC,b2329,2446388.0,2447473.0,reverse
RDBECOLIGNC00072,aroD,b1693,1774686.0,1775444.0,forward
RDBECOLIGNC00073,aroE,b3281,3430020.0,3430838.0,reverse
RDBECOLIGNC00074,aroF,b2601,2740080.0,2741150.0,reverse
RDBECOLIGNC00075,aroG,b0754,785633.0,786685.0,forward
RDBECOLIGNC00076,aroH,b1704,1788435.0,1789481.0,forward
RDBECOLIGNC00077,aroK,b3390,3518543.0,3519064.0,reverse
RDBECOLIGNC00078,aroL,b0388,406405.0,406929.0,forward
RDBECOLIGNC00079,aroM,b0390,407428.0,408105.0,forward
RDBECOLIGNC00080,aroP,b0112,120178.0,121551.0,reverse
RDBECOLIGNC00081,ascB,b2716,2840990.0,2842414.0,forward
RDBECOLIGNC00082,ascF,b2715,2839524.0,2840981.0,forward
RDBECOLIGNC00083,ascG,b2714,2838254.0,2839264.0,reverse
RDBECOLIGNC00084,asd,b3433,3573775.0,3574878.0,reverse
RDBECOLIGNC00085,aslA,b3801,3984352.0,3986007.0,reverse
RDBECOLIGNC00086,aslB,b3800,3982958.0,3984193.0,forward
RDBECOLIGNC00087,asnA,b3744,3927155.0,3928147.0,forward
RDBECOLIGNC00088,asnB,b0674,697513.0,699177.0,reverse
RDBECOLIGNC00089,asnC,b3743,3926545.0,3927003.0,reverse
RDBECOLIGNC00090,asnS,b0930,987585.0,988985.0,reverse
RDBECOLIGNC00091,aspA,b4139,4366891.0,4368327.0,reverse
RDBECOLIGNC00092,aspC,b0928,984519.0,985709.0,reverse
RDBECOLIGNC00093,aspS,b1866,1948750.0,1950522.0,reverse
RDBECOLIGNC00094,atpA,b3734,3918316.0,3919857.0,reverse
RDBECOLIGNC00095,atpB,b3738,3921236.0,3922051.0,reverse
RDBECOLIGNC00096,atpC,b3731,3915553.0,3915972.0,reverse
RDBECOLIGNC00097,atpD,b3732,3915993.0,3917375.0,reverse
RDBECOLIGNC00098,atpE,b3737,3920950.0,3921189.0,reverse
RDBECOLIGNC00099,atpF,b3736,3920418.0,3920888.0,reverse
RDBECOLIGNC00100,atpG,b3733,3917402.0,3918265.0,reverse
RDBECOLIGNC00101,atpH,b3735,3919870.0,3920403.0,reverse
RDBECOLIGNC00102,atpI,b3739,3922060.0,3922440.0,reverse
RDBECOLIGNC00103,avtA,b3572,3739705.0,3740958.0,forward
RDBECOLIGNC00104,bcp,b2480,2600478.0,2600948.0,forward
RDBECOLIGNC00105,betA,b0311,325577.0,327247.0,reverse
RDBECOLIGNC00106,betB,b0312,327261.0,328733.0,reverse
RDBECOLIGNC00107,betI,b0313,328747.0,329334.0,reverse
RDBECOLIGNC00108,betT,b0314,329463.0,331496.0,forward
RDBECOLIGNC00109,bfr,b3336,3466249.0,3466725.0,reverse
RDBECOLIGNC00110,bglB,b3721,3902289.0,3903701.0,reverse
RDBECOLIGNC00111,bglF,b3722,3903720.0,3905597.0,reverse
RDBECOLIGNC00112,bglG,b3723,3905731.0,3906567.0,reverse
RDBECOLIGNC00113,bioA,b0774,807968.0,809257.0,reverse
RDBECOLIGNC00114,bioB,b0775,809344.0,810384.0,forward
RDBECOLIGNC00115,bioC,b0777,811522.0,812277.0,forward
RDBECOLIGNC00116,bioD,b0778,812270.0,812947.0,forward
RDBECOLIGNC00117,bioF,b0776,810381.0,811535.0,forward
RDBECOLIGNC00118,bioH,b3412,3544074.0,3544844.0,reverse
RDBECOLIGNC00119,birA,b3973,4173082.0,4174047.0,forward
RDBECOLIGNC00120,bisC,b3551,3714061.0,3716394.0,reverse
RDBECOLIGNC00121,bolA,b0435,454472.0,454789.0,forward
RDBECOLIGNC00122,btuB,b3966,4163639.0,4165483.0,forward
RDBECOLIGNC00123,btuC,b1711,1794172.0,1795152.0,reverse
RDBECOLIGNC00124,btuD,b1709,1792809.0,1793558.0,reverse
RDBECOLIGNC00125,btuE,b1710,1793558.0,1794109.0,reverse
RDBECOLIGNC00126,btuR,b1270,1327767.0,1328357.0,reverse
RDBECOLIGNC00127,cadA,b4131,4356470.0,4358617.0,reverse
RDBECOLIGNC00128,cadB,b4132,4358697.0,4360031.0,reverse
RDBECOLIGNC00129,cadC,b4133,4360396.0,4361934.0,reverse
RDBECOLIGNC00130,carA,b0032,29651.0,30799.0,forward
RDBECOLIGNC00131,carB,b0033,30817.0,34038.0,forward
RDBECOLIGNC00132,cca,b3056,3201891.0,3203129.0,forward
RDBECOLIGNC00133,cdd,b2143,2231844.0,2232728.0,forward
RDBECOLIGNC00134,cdh,b3918,4109930.0,4110685.0,forward
RDBECOLIGNC00135,cdsA,b0175,195677.0,196534.0,forward
RDBECOLIGNC00136,chbB,b1738,1821299.0,1821619.0,reverse
RDBECOLIGNC00137,chbC,b1737,1819856.0,1821214.0,reverse
RDBECOLIGNC00138,chbA,b1736,1819455.0,1819805.0,reverse
RDBECOLIGNC00139,chbR,b1735,1818605.0,1819447.0,reverse
RDBECOLIGNC00140,chbF,b1734,1817148.0,1818500.0,reverse
RDBECOLIGNC00141,creD,b4400,4638178.0,4639530.0,forward
RDBECOLIGNC00142,cheA,b1888,1973360.0,1975324.0,reverse
RDBECOLIGNC00143,cheB,b1883,1967452.0,1968501.0,reverse
RDBECOLIGNC00144,cheR,b1884,1968504.0,1969364.0,reverse
RDBECOLIGNC00145,cheW,b1887,1972836.0,1973339.0,reverse
RDBECOLIGNC00146,cheY,b1882,1967048.0,1967437.0,reverse
RDBECOLIGNC00147,cheZ,b1881,1966393.0,1967037.0,reverse
RDBECOLIGNC00148,modC,b0765,796554.0,797612.0,forward
RDBECOLIGNC00149,moeA,b0827,865129.0,866364.0,reverse
RDBECOLIGNC00150,moeB,b0826,864380.0,865129.0,reverse
RDBECOLIGNC00151,cirA,b2155,2244778.0,2246769.0,reverse
RDBECOLIGNC00152,clpA,b0882,923264.0,925540.0,forward
RDBECOLIGNC00153,clpB,b2592,2731600.0,2734173.0,reverse
RDBECOLIGNC00154,clpP,b0437,456677.0,457300.0,forward
RDBECOLIGNC00155,clpX,b0438,457426.0,458700.0,forward
RDBECOLIGNC00156,cpdB,b4213,4434622.0,4436565.0,reverse
RDBECOLIGNC00157,cpsB,b2049,2123084.0,2124520.0,reverse
RDBECOLIGNC00158,cpsG,b2048,2121609.0,2122979.0,reverse
RDBECOLIGNC00159,cpxA,b3911,4103602.0,4104975.0,reverse
RDBECOLIGNC00160,crp,b3357,3486120.0,3486752.0,forward
RDBECOLIGNC00161,crr,b2417,2535834.0,2536343.0,forward
RDBECOLIGNC00162,cspA,b3556,3720049.0,3720261.0,forward
RDBECOLIGNC00163,cstA,b0598,629894.0,631999.0,forward
RDBECOLIGNC00164,lnt,b0657,689343.0,690881.0,reverse
RDBECOLIGNC00165,cvpA,b2313,2430275.0,2430763.0,reverse
RDBECOLIGNC00166,cyaA,b3806,3991153.0,3993699.0,forward
RDBECOLIGNC00167,cybB,b1418,1490902.0,1491432.0,forward
RDBECOLIGNC00168,cydA,b0733,771458.0,773026.0,forward
RDBECOLIGNC00169,cydB,b0734,773042.0,774181.0,forward
RDBECOLIGNC00170,cynS,b0340,359489.0,359959.0,forward
RDBECOLIGNC00171,cynT,b0339,358799.0,359458.0,forward
RDBECOLIGNC00172,cynX,b0341,359992.0,361146.0,forward
RDBECOLIGNC00173,cyoA,b0432,450663.0,451610.0,reverse
RDBECOLIGNC00174,cyoB,b0431,448650.0,450641.0,reverse
RDBECOLIGNC00175,cyoC,b0430,448046.0,448660.0,reverse
RDBECOLIGNC00176,cyoD,b0429,447717.0,448046.0,reverse
RDBECOLIGNC00177,cyoE,b0428,446815.0,447705.0,reverse
RDBECOLIGNC00178,cysA,b2422,2539717.0,2540814.0,reverse
RDBECOLIGNC00179,cysB,b1275,1333855.0,1334829.0,forward
RDBECOLIGNC00180,cysC,b2750,2873387.0,2873992.0,reverse
RDBECOLIGNC00181,cysD,b2752,2875421.0,2876329.0,reverse
RDBECOLIGNC00182,cysE,b3607,3781741.0,3782562.0,reverse
RDBECOLIGNC00183,cysG,b3368,3497828.0,3499201.0,forward
RDBECOLIGNC00184,cysH,b2762,2887578.0,2888312.0,reverse
RDBECOLIGNC00185,cysI,b2763,2888387.0,2890099.0,reverse
RDBECOLIGNC00186,cysJ,b2764,2890099.0,2891898.0,reverse
RDBECOLIGNC00187,cysK,b2414,2532409.0,2533380.0,forward
RDBECOLIGNC00188,cysM,b2421,2538672.0,2539583.0,reverse
RDBECOLIGNC00189,cysN,b2751,2873992.0,2875419.0,reverse
RDBECOLIGNC00190,cysP,b2425,2542512.0,2543528.0,reverse
RDBECOLIGNC00191,cysS,b0526,554611.0,555996.0,forward
RDBECOLIGNC00192,cysU,b2424,2541679.0,2542512.0,reverse
RDBECOLIGNC00193,cysW,b2423,2540804.0,2541679.0,reverse
RDBECOLIGNC00194,cytR,b3934,4123431.0,4124456.0,reverse
RDBECOLIGNC00195,dacA,b0632,662752.0,663963.0,reverse
RDBECOLIGNC00196,dacB,b3182,3328963.0,3330396.0,forward
RDBECOLIGNC00197,dacC,b0839,880727.0,881929.0,forward
RDBECOLIGNC00198,dam,b3387,3515077.0,3515913.0,reverse
RDBECOLIGNC00199,dapA,b2478,2598882.0,2599760.0,reverse
RDBECOLIGNC00200,dapB,b0031,28374.0,29195.0,forward
RDBECOLIGNC00201,dapD,b0166,185123.0,185947.0,reverse
RDBECOLIGNC00202,dapE,b2472,2591607.0,2592734.0,forward
RDBECOLIGNC00203,dapF,b3809,3994762.0,3995586.0,forward
RDBECOLIGNC00204,dbpA,b1343,1409511.0,1410884.0,forward
RDBECOLIGNC00205,dcm,b1961,2030899.0,2032317.0,reverse
RDBECOLIGNC00206,dcp,b1538,1625335.0,1627380.0,reverse
RDBECOLIGNC00207,ddlA,b0381,399829.0,400923.0,reverse
RDBECOLIGNC00208,ddlB,b0092,102233.0,103153.0,forward
RDBECOLIGNC00209,deaD,b3162,3305971.0,3307860.0,reverse
RDBECOLIGNC00210,dedA,b2317,2434082.0,2434741.0,reverse
RDBECOLIGNC00211,accD,b2316,2433012.0,2433926.0,reverse
RDBECOLIGNC00212,dedD,b2314,2431022.0,2431684.0,reverse
RDBECOLIGNC00213,deoA,b4382,4618229.0,4619551.0,forward
RDBECOLIGNC00214,deoB,b4383,4619603.0,4620826.0,forward
RDBECOLIGNC00215,deoC,b4381,4617323.0,4618102.0,forward
RDBECOLIGNC00216,deoD,b4384,4620883.0,4621602.0,forward
RDBECOLIGNC00217,deoR,b0840,881976.0,882734.0,reverse
RDBECOLIGNC00218,dgkA,b4042,4256637.0,4257005.0,forward
RDBECOLIGNC00219,dgt,b0160,179237.0,180754.0,forward
RDBECOLIGNC00220,dicA,b1570,1647934.0,1648341.0,forward
RDBECOLIGNC00221,dicB,b1575,1649609.0,1649797.0,forward
RDBECOLIGNC00222,dicC,b1569,1647620.0,1647850.0,reverse
RDBECOLIGNC00223,flk,b2321,2437950.0,2438945.0,forward
RDBECOLIGNC00224,dksA,b0145,160149.0,160604.0,reverse
RDBECOLIGNC00225,dld,b2133,2222185.0,2223900.0,forward
RDBECOLIGNC00226,dmsA,b0894,940959.0,943403.0,forward
RDBECOLIGNC00227,dmsB,b0895,943414.0,944031.0,forward
RDBECOLIGNC00228,dmsC,b0896,944033.0,944896.0,forward
RDBECOLIGNC00229,dnaA,b3702,3882326.0,3883729.0,reverse
RDBECOLIGNC00230,dnaB,b4052,4264314.0,4265729.0,forward
RDBECOLIGNC00231,dnaC,b4361,4600238.0,4600975.0,reverse
RDBECOLIGNC00232,dnaE,b0184,205126.0,208608.0,forward
RDBECOLIGNC00233,dnaG,b3066,3211107.0,3212852.0,forward
RDBECOLIGNC00234,dnaJ,b0015,14168.0,15298.0,forward
RDBECOLIGNC00235,dnaK,b0014,12163.0,14079.0,forward
RDBECOLIGNC00236,dnaN,b3701,3881221.0,3882321.0,reverse
RDBECOLIGNC00237,dnaQ,b0215,236067.0,236798.0,forward
RDBECOLIGNC00238,dnaT,b4362,4600978.0,4601517.0,reverse
RDBECOLIGNC00239,dnaX,b0470,492092.0,494023.0,forward
RDBECOLIGNC00240,mltD,b0211,232597.0,233955.0,reverse
RDBECOLIGNC00241,acpS,b2563,2700618.0,2700998.0,reverse
RDBECOLIGNC00242,dppA,b3544,3706098.0,3707705.0,reverse
RDBECOLIGNC00243,dsdA,b2366,2479202.0,2480530.0,forward
RDBECOLIGNC00244,dsdX,b2365,2477847.0,2479184.0,forward
RDBECOLIGNC00245,dut,b3640,3813929.0,3814387.0,forward
RDBECOLIGNC00246,ebgA,b3076,3222633.0,3225725.0,forward
RDBECOLIGNC00247,ebgC,b3077,3225722.0,3226171.0,forward
RDBECOLIGNC00248,ebgR,b3075,3221466.0,3222449.0,forward
RDBECOLIGNC00249,eco,b2209,2303905.0,2304393.0,forward
RDBECOLIGNC00250,eda,b1850,1932115.0,1932756.0,reverse
RDBECOLIGNC00251,edd,b1851,1932793.0,1934604.0,reverse
RDBECOLIGNC00252,eno,b2779,2906643.0,2907941.0,reverse
RDBECOLIGNC00253,entA,b0596,628551.0,629297.0,forward
RDBECOLIGNC00254,entB,b0595,627694.0,628551.0,forward
RDBECOLIGNC00255,entC,b0593,624885.0,626060.0,forward
RDBECOLIGNC00256,entD,b0583,609459.0,610079.0,reverse
RDBECOLIGNC00257,entE,b0594,626070.0,627680.0,forward
RDBECOLIGNC00258,entF,b0586,614157.0,618038.0,forward
RDBECOLIGNC00259,lpxC,b0096,106557.0,107474.0,forward
RDBECOLIGNC00260,acrE,b3265,3413864.0,3415021.0,forward
RDBECOLIGNC00261,acrF,b3266,3415033.0,3418137.0,forward
RDBECOLIGNC00262,envY,b0566,586147.0,586908.0,reverse
RDBECOLIGNC00263,envZ,b3404,3534516.0,3535868.0,reverse
RDBECOLIGNC00264,era,b2566,2702481.0,2703386.0,reverse
RDBECOLIGNC00265,exbB,b3006,3151250.0,3151984.0,reverse
RDBECOLIGNC00266,exbD,b3005,3150818.0,3151243.0,reverse
RDBECOLIGNC00267,fabA,b0954,1015952.0,1016470.0,reverse
RDBECOLIGNC00268,fabB,b2323,2440385.0,2441605.0,reverse
RDBECOLIGNC00269,accB,b3255,3405436.0,3405906.0,forward
RDBECOLIGNC00270,accC,b3256,3405917.0,3407266.0,forward
RDBECOLIGNC00271,fabH,b1091,1148759.0,1149712.0,forward
RDBECOLIGNC00272,fadA,b3845,4027609.0,4028772.0,reverse
RDBECOLIGNC00273,fadB,b3846,4028782.0,4030971.0,reverse
RDBECOLIGNC00274,fadL,b2344,2461306.0,2462646.0,forward
RDBECOLIGNC00275,fadR,b1187,1234938.0,1235657.0,forward
RDBECOLIGNC00276,fbaA,b2925,3070165.0,3071244.0,reverse
RDBECOLIGNC00277,fbp,b4232,4454611.0,4455609.0,reverse
RDBECOLIGNC00278,fdhE,b3891,4080299.0,4081228.0,reverse
RDBECOLIGNC00279,fdhF,b4079,4297219.0,4299366.0,reverse
RDBECOLIGNC00280,fecA,b4291,4514353.0,4516677.0,reverse
RDBECOLIGNC00281,fecB,b4290,4513406.0,4514308.0,reverse
RDBECOLIGNC00282,fecC,b4289,4512411.0,4513409.0,reverse
RDBECOLIGNC00283,fecD,b4288,4511458.0,4512414.0,reverse
RDBECOLIGNC00284,fecE,b4287,4510690.0,4511457.0,reverse
RDBECOLIGNC00285,fecI,b4293,4517714.0,4518235.0,reverse
RDBECOLIGNC00286,fecR,b4292,4516764.0,4517717.0,reverse
RDBECOLIGNC00287,fepA,b0584,610254.0,612494.0,reverse
RDBECOLIGNC00288,fepB,b0592,623554.0,624510.0,reverse
RDBECOLIGNC00289,fepC,b0588,619384.0,620199.0,reverse
RDBECOLIGNC00290,fepD,b0590,621185.0,622189.0,reverse
RDBECOLIGNC00291,fepE,b0587,618254.0,619387.0,forward
RDBECOLIGNC00292,fepG,b0589,620196.0,621188.0,reverse
RDBECOLIGNC00293,fes,b0585,612737.0,613939.0,forward
RDBECOLIGNC00294,ffh,b2610,2746434.0,2747795.0,reverse
RDBECOLIGNC00295,fhlA,b2731,2854338.0,2856416.0,forward
RDBECOLIGNC00296,fhuA,b0150,167484.0,169727.0,forward
RDBECOLIGNC00297,fhuB,b0153,171462.0,173444.0,forward
RDBECOLIGNC00298,fhuC,b0151,169778.0,170575.0,forward
RDBECOLIGNC00299,fhuD,b0152,170575.0,171465.0,forward
RDBECOLIGNC00300,fhuE,b1102,1159362.0,1161551.0,reverse
RDBECOLIGNC00301,fic,b3361,3490861.0,3491463.0,reverse
RDBECOLIGNC00302,fimA,b4314,4543115.0,4543663.0,forward
RDBECOLIGNC00303,fimB,b4312,4540957.0,4541559.0,forward
RDBECOLIGNC00304,fimC,b4316,4544304.0,4545029.0,forward
RDBECOLIGNC00305,fimD,b4317,4545096.0,4547732.0,forward
RDBECOLIGNC00306,fimE,b4313,4542037.0,4542633.0,forward
RDBECOLIGNC00307,fimF,b4318,4547742.0,4548272.0,forward
RDBECOLIGNC00308,fimG,b4319,4548285.0,4548788.0,forward
RDBECOLIGNC00309,fimH,b4320,4548808.0,4549710.0,forward
RDBECOLIGNC00310,lpxD,b0179,200971.0,201996.0,forward
RDBECOLIGNC00311,fis,b3261,3411271.0,3411567.0,forward
RDBECOLIGNC00312,fldA,b0684,710935.0,711465.0,reverse
RDBECOLIGNC00313,flhC,b1891,1977266.0,1977844.0,reverse
RDBECOLIGNC00314,flhD,b1892,1977847.0,1978197.0,reverse
RDBECOLIGNC00315,fliC,b1923,2002110.0,2003606.0,reverse
RDBECOLIGNC00316,fliL,b1944,2019618.0,2020082.0,forward
RDBECOLIGNC00317,fliM,b1945,2020087.0,2021091.0,forward
RDBECOLIGNC00318,fliN,b1946,2021088.0,2021501.0,forward
RDBECOLIGNC00319,fnr,b1334,1398774.0,1399526.0,reverse
RDBECOLIGNC00320,folA,b0048,49823.0,50302.0,forward
RDBECOLIGNC00321,folC,b2315,2431674.0,2432942.0,reverse
RDBECOLIGNC00322,folD,b0529,556875.0,557741.0,reverse
RDBECOLIGNC00323,mutM,b3635,3810343.0,3811152.0,reverse
RDBECOLIGNC00324,frdA,b4154,4380510.0,4382318.0,reverse
RDBECOLIGNC00325,frdB,b4153,4379783.0,4380517.0,reverse
RDBECOLIGNC00326,frdC,b4152,4379377.0,4379772.0,reverse
RDBECOLIGNC00327,frdD,b4151,4379007.0,4379366.0,reverse
RDBECOLIGNC00328,fre,b3844,4026527.0,4027228.0,forward
RDBECOLIGNC00329,frr,b0172,192872.0,193429.0,forward
RDBECOLIGNC00330,fruA,b2167,2259719.0,2261410.0,reverse
RDBECOLIGNC00331,fruK,b2168,2261427.0,2262365.0,reverse
RDBECOLIGNC00332,cra,b0080,88028.0,89032.0,forward
RDBECOLIGNC00333,ftsA,b0094,103982.0,105244.0,forward
RDBECOLIGNC00334,ftsE,b3463,3602079.0,3602747.0,reverse
RDBECOLIGNC00335,ftsI,b0084,91413.0,93179.0,forward
RDBECOLIGNC00336,ftsQ,b0093,103155.0,103985.0,forward
RDBECOLIGNC00337,rsmD,b3465,3604393.0,3604989.0,forward
RDBECOLIGNC00338,ftsW,b0089,98403.0,99647.0,forward
RDBECOLIGNC00339,ftsX,b3462,3601028.0,3602086.0,reverse
RDBECOLIGNC00340,ftsY,b3464,3602750.0,3604243.0,reverse
RDBECOLIGNC00341,ftsZ,b0095,105305.0,106456.0,forward
RDBECOLIGNC00342,fucA,b2800,2933041.0,2933688.0,reverse
RDBECOLIGNC00343,fucI,b2802,2935584.0,2937359.0,forward
RDBECOLIGNC00344,fucK,b2803,2937468.0,2938886.0,forward
RDBECOLIGNC00345,fucO,b2799,2931865.0,2933013.0,reverse
RDBECOLIGNC00346,fucP,b2801,2934235.0,2935551.0,forward
RDBECOLIGNC00347,fucR,b2805,2939368.0,2940099.0,forward
RDBECOLIGNC00348,fucU,b2804,2938888.0,2939310.0,forward
RDBECOLIGNC00349,fumA,b1612,1686731.0,1688377.0,reverse
RDBECOLIGNC00350,fumB,b4122,4345680.0,4347326.0,reverse
RDBECOLIGNC00351,fumC,b1611,1685185.0,1686588.0,reverse
RDBECOLIGNC00352,fur,b0683,710200.0,710646.0,reverse
RDBECOLIGNC00353,fusA,b3340,3471400.0,3473514.0,reverse
RDBECOLIGNC00354,gabT,b2662,2792735.0,2794015.0,forward
RDBECOLIGNC00355,galE,b0759,791039.0,792055.0,reverse
RDBECOLIGNC00356,galK,b0757,788831.0,789979.0,reverse
RDBECOLIGNC00357,galR,b2837,2976599.0,2977630.0,forward
RDBECOLIGNC00358,galS,b2151,2240628.0,2241668.0,reverse
RDBECOLIGNC00359,galT,b0758,789983.0,791029.0,reverse
RDBECOLIGNC00360,gapA,b1779,1862771.0,1863766.0,forward
RDBECOLIGNC00361,epd,b2927,3072672.0,3073691.0,reverse
RDBECOLIGNC00362,gcd,b0124,138835.0,141225.0,reverse
RDBECOLIGNC00363,ispG,b2515,2640686.0,2641804.0,reverse
RDBECOLIGNC00364,gcvH,b2904,3049160.0,3049549.0,reverse
RDBECOLIGNC00365,gdhA,b1761,1842371.0,1843714.0,forward
RDBECOLIGNC00366,mokC,b0018,16751.0,16960.0,reverse
RDBECOLIGNC00367,ggt,b3447,3585081.0,3586823.0,reverse
RDBECOLIGNC00368,mnmG,b3741,3923744.0,3925633.0,reverse
RDBECOLIGNC00369,rsmG,b3740,3923057.0,3923680.0,reverse
RDBECOLIGNC00370,glgA,b3429,3566600.0,3568033.0,reverse
RDBECOLIGNC00371,glgB,b3432,3571316.0,3573502.0,reverse
RDBECOLIGNC00372,glgC,b3430,3568033.0,3569328.0,reverse
RDBECOLIGNC00373,glgP,b3428,3564134.0,3566581.0,reverse
RDBECOLIGNC00374,glgX,b3431,3569346.0,3571319.0,reverse
RDBECOLIGNC00375,glmS,b3729,3911839.0,3913668.0,reverse
RDBECOLIGNC00376,glnA,b3870,4056625.0,4058034.0,reverse
RDBECOLIGNC00377,glnB,b2553,2687070.0,2687408.0,reverse
RDBECOLIGNC00378,glnG,b3868,4053869.0,4055278.0,reverse
RDBECOLIGNC00379,glnH,b0811,847258.0,848004.0,reverse
RDBECOLIGNC00380,glnL,b3869,4055290.0,4056339.0,reverse
RDBECOLIGNC00381,glnP,b0810,846460.0,847119.0,reverse
RDBECOLIGNC00382,glnQ,b0809,845741.0,846463.0,reverse
RDBECOLIGNC00383,glnS,b0680,706093.0,707757.0,forward
RDBECOLIGNC00384,glpA,b2241,2352647.0,2354275.0,forward
RDBECOLIGNC00385,glpB,b2242,2354265.0,2355524.0,forward
RDBECOLIGNC00386,glpC,b2243,2355521.0,2356711.0,forward
RDBECOLIGNC00387,glpD,b3426,3562013.0,3563518.0,forward
